Wall time,Step,Value
1585674492.4969742,0,2.7419917583465576
1585674639.0414252,1,2.73671293258667
1585674786.1409152,2,2.730808973312378
1585674946.6506906,3,2.7384371757507324
1585675149.7567163,4,2.723097085952759
1585675339.847982,5,2.7107884883880615
1585675511.6207974,6,2.7077741622924805
1585675703.1498754,7,2.6990039348602295
1585675876.6010346,8,2.696381092071533
1585676059.7032766,9,2.685659646987915
1585676228.8428617,10,2.6708805561065674
1585676401.1485093,11,2.6712465286254883
1585676566.6557534,12,2.6640000343322754
1585676736.763429,13,2.6626620292663574
1585676921.8241603,14,2.659703493118286
1585677089.7928598,15,2.643507480621338
1585677262.4000294,16,2.6330924034118652
1585677452.9841483,17,2.626129627227783
1585677664.3663592,18,2.633380651473999
1585677878.0559437,19,2.620102643966675
1585678053.2799337,20,2.6199533939361572
1585678222.4025066,21,2.6146397590637207
1585678390.3599896,22,2.616928815841675
1585678561.0371044,23,2.6019725799560547
1585678753.9374804,24,2.6024370193481445
1585678923.263714,25,2.5926249027252197
1585679093.6599603,26,2.5976524353027344
1585679264.0452282,27,2.576876640319824
1585679431.7900014,28,2.5761098861694336
1585679619.7620337,29,2.5670113563537598
1585679787.550307,30,2.5653464794158936
1585679955.0963035,31,2.566497564315796
1585680129.8073492,32,2.5490429401397705
1585680299.9249542,33,2.5440890789031982
1585680491.783385,34,2.5456957817077637
1585680656.3648126,35,2.532776355743408
1585680824.709309,36,2.5437769889831543
1585680992.9910662,37,2.5255420207977295
1585681161.231487,38,2.5236573219299316
1585681393.3139415,39,2.516761302947998
1585681597.4916532,40,2.5114431381225586
1585681772.7306306,41,2.5140199661254883
1585681969.3280683,42,2.4983949661254883
1585682166.1822393,43,2.4925272464752197
1585682388.3524563,44,2.50020170211792
1585682600.3104048,45,2.492340564727783
1585682805.7059782,46,2.490696668624878
1585682987.5480945,47,2.4808120727539062
1585683186.112296,48,2.4736294746398926
1585683419.1514294,49,2.4665632247924805
1585683614.0038903,50,2.4752869606018066
